,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
9,Karangasem,ID,76.48,light rain,-8.45,115.6167,Villa Campuhan
10,Ponta Do Sol,PT,75.7,few clouds,32.6667,-17.1,Hotel do Campo
12,Rach Gia,VN,79.45,overcast clouds,10.0167,105.0833,Nhà Hàng Hòa Giang
15,Kolaras,IN,73.47,overcast clouds,25.2333,77.6,Shiv Shakti Garden (Gayatri Colony)
18,Vaini,TO,73.56,overcast clouds,-21.2,-175.2,Keleti Beach Resort
21,Wanning,CN,78.13,overcast clouds,18.8003,110.3967,Paradise Hotel
23,Meulaboh,ID,75.49,overcast clouds,4.1363,96.1285,Kost Pria
28,Kapaa,US,79.11,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
29,San Quintin,MX,74.05,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
38,Akyab,MM,81.46,few clouds,20.15,92.9,ဟိုတယ် မန်မိုရီ
41,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
45,Vila Franca Do Campo,PT,70.21,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
46,Rikitea,PF,70.65,clear sky,-23.1203,-134.9692,People ThankYou
48,Mahebourg,MU,71.89,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
49,Kontagora,NG,73.98,moderate rain,10.3999,5.4695,Queens Guest Inn
61,Jalu,LY,74.25,clear sky,29.0331,21.5482,صاحبة الفخامة
62,Lucapa,AO,73.04,few clouds,-8.4192,20.7447,Lírio Mendes
65,Kirakira,SB,78.12,broken clouds,-10.4544,161.9205,SanBiz Lodge
72,Faanui,PF,78.6,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
74,Samarai,PG,80.58,overcast clouds,-10.6167,150.6667,Nuli Sapi
76,Butaritari,KI,81.97,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
77,Hilo,US,83.28,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
78,Ribeira Grande,PT,73.8,few clouds,38.5167,-28.7,Quinta da Meia Eira
84,Kavieng,PG,81.28,broken clouds,-2.5744,150.7967,Nusa Island Retreat
85,Arraial Do Cabo,BR,82.26,light rain,-22.9661,-42.0278,Pousada Porto Praia
89,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
90,Georgetown,MY,79.23,few clouds,5.4112,100.3354,Cititel Penang
95,Gat,IL,75.88,clear sky,31.61,34.7642,OlusHome
97,Muisne,EC,76.84,overcast clouds,0.6,-80.0333,Quinta Samay
98,Vila Velha,BR,80.55,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
100,Barcelos,PT,70.92,few clouds,41.5388,-8.6151,Hotel Do Terço
103,Sao Filipe,CV,79.59,few clouds,14.8961,-24.4956,Hotel Xaguate
106,San Carlos,VE,82.13,broken clouds,9.6612,-68.5827,Hotel Paternopoli
107,Bulungu,CD,75.18,overcast clouds,-4.55,18.6,Maison MC Michel
108,Kimbe,PG,73.53,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
112,Buala,SB,80.55,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
113,Cockburn Town,TC,83.26,clear sky,21.4612,-71.1419,Osprey Beach Hotel
115,Bilma,NE,89.1,clear sky,18.6853,12.9164,Expeditions Ténére voyages
116,Bethel,US,77.18,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
120,Hithadhoo,MV,80.53,overcast clouds,-0.6,73.0833,Scoop Guest House
121,Pecos,US,77.83,broken clouds,31.4229,-103.4932,Knights Inn & Suites Pecos Northeast
122,Natal,BR,84.85,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
124,Brigantine,US,78.21,clear sky,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
125,Alyangula,AU,79.59,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
127,Sal Rei,CV,84.4,broken clouds,16.1833,-22.9167,Marine Club Beach Resort
128,Tual,ID,82.56,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
134,Jiangkou,CN,71.47,overcast clouds,25.4872,119.1986,DFM Hotel
138,Atuona,PF,76.15,light rain,-9.8,-139.0333,Villa Enata
139,San Jose,US,85.53,haze,37.3394,-121.895,The Westin San Jose
141,Mayumba,GA,76.35,overcast clouds,-3.432,10.6554,LIKWALE LODGE
142,Ewa Beach,US,82.02,clear sky,21.3156,-158.0072,Base Lodging
143,Lompoc,US,73.54,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
149,Along,IN,70.72,overcast clouds,28.1667,94.7667,Hotel West
150,Monrovia,LR,78.01,broken clouds,6.3005,-10.7969,Sunset Inn
151,Arona,ES,70.32,few clouds,28.0996,-16.680999999999997,Paradise Court
155,Skeldon,GY,86.47,clear sky,5.8833,-57.1333,Classic International Hotel & Suites
156,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
158,Cartagena Del Chaira,CO,88.97,overcast clouds,1.3349,-74.8429,HOTEL LA ROCA
159,Eyl,SO,78.6,broken clouds,7.9803,49.8164,EYL AQUE SYSTEM
162,Union,US,79.9,clear sky,40.6334,-74.2663,Homewood Suites by Hilton Newark-Cranford
163,Morondava,MG,75.7,scattered clouds,-20.2833,44.2833,La Case Bambou
167,Mukono,UG,73.15,overcast clouds,0.3533,32.7553,Vegas Motel
168,Acajutla,SV,87.37,broken clouds,13.5928,-89.8275,CASA DE LA PERRA
170,Mar Del Plata,AR,75.22,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
173,Robertson,US,77.05,clear sky,36.5167,-86.8667,Hampton Inn Springfield
176,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
182,Muncar,ID,75.97,light rain,-8.4333,114.3333,Zaky Homestay
183,South River,US,79.88,clear sky,40.4465,-74.38600000000001,"Holiday Inn Express & Suites Tower Center New Brunswick, an IHG Hotel"
184,Garowe,SO,78.13,clear sky,8.4054,48.4845,Curubo Hotel
185,San Cristobal,VE,82.58,overcast clouds,7.7669,-72.225,Pirineos
187,Mawlaik,MM,74.86,broken clouds,23.6333,94.4167,AKZ Guest House
188,Quatre Cocos,MU,71.71,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
192,Parati,BR,86.76,scattered clouds,-23.2178,-44.7131,Che Lagarto Paraty
197,Ishigaki,JP,78.93,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
200,Wardha,IN,73.13,overcast clouds,20.75,78.6167,Hotel Ramakrishna
201,Filadelfia,US,79.43,clear sky,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
203,Mayo,US,81.1,clear sky,38.8876,-76.5119,Resorts Resource Group International
206,Rabat,MA,75.27,overcast clouds,33.9911,-6.8401,Hôtel Mercure Rabat Sheherazade
208,Isangel,VU,75.88,broken clouds,-19.55,169.2667,Tanna Lodge
209,Qui Nhon,VN,77.72,heavy intensity rain,13.7667,109.2333,Seagull Hotel
213,Saint George,US,83.43,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
216,Tura,IN,72.46,few clouds,25.5198,90.2201,Hotel RIKMAN Continental
217,Sterling,US,81.14,few clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
218,Bambous Virieux,MU,71.85,scattered clouds,-20.3428,57.7575,Casa Tia Villa
221,Maceio,BR,83.64,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
222,Garmsar,IR,72.9,clear sky,35.2182,52.3409,مجتمع مرصاد
230,Tsabong,BW,78.96,clear sky,-26.0217,22.401,Springbok Motel
233,Belmonte,BR,79.48,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
235,Chivilcoy,AR,85.23,clear sky,-34.8957,-60.0167,Chivilrent
238,Marsh Harbour,BS,80.4,broken clouds,26.5412,-77.0636,Abaco Beach Resort
243,Lalmohan,BD,80.91,broken clouds,22.3384,90.7419,Arifur Rahman Miraj
245,Dallas,US,88.77,broken clouds,32.7668,-96.7836,"Hotel Indigo Dallas Downtown, an IHG Hotel"
249,Puri,IN,81.12,broken clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
251,Mitsamiouli,KM,76.55,clear sky,-11.3847,43.2844,Foyer ADM
254,Sur,OM,79.59,clear sky,22.5667,59.5289,Sur Plaza Hotel
255,Bengkulu,ID,74.44,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
257,Nanakuli,US,82.04,clear sky,21.3906,-158.1547,Camp Pālehua
260,Sokoni,TZ,76.06,broken clouds,-6.4333,39.55,Ujamaa Beach Resort
261,Bonthe,SL,77.97,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
262,Omboue,GA,75.67,light rain,-1.5746,9.2618,Hotel Olako
263,Mirandela,PT,80.29,few clouds,41.4874,-7.187,Grande Hotel Dom Dinis
265,Nouadhibou,MR,75.18,sand,20.930999999999997,-17.0347,El Medina
269,Acapulco,MX,85.82,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
273,Pandan,PH,80.19,scattered clouds,14.0453,124.1694,Bonifacio Lodge
276,Bhawanipatna,IN,73.29,overcast clouds,19.9,83.1667,Bhagirathi inn
279,Melito Di Porto Salvo,IT,71.78,broken clouds,37.9222,15.7714,B&B Nereidi
280,Ransang,PH,79.02,overcast clouds,8.9603,117.5828,Black and Crystal Sand Campsite
287,Baculin,PH,77.77,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
290,Gaur,NP,76.86,broken clouds,26.7667,85.2667,Satakar Hotel
291,Victoria,HK,80.33,clear sky,22.2855,114.1577,Mini Central
292,Katherine,AU,79.12,broken clouds,-14.4667,132.2667,Pine Tree Motel
294,Madingou,CG,80.19,light rain,-4.1536,13.55,HOTEL KIM ELISA
295,Saint-Georges,GD,87.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
297,Hobyo,SO,77.86,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
308,Nogales,MX,77.32,clear sky,31.3086,-110.9422,Siesta Motel
309,Oussouye,SN,89.78,light rain,12.485,-16.5469,Auberge du Routard
312,Parlakimidi,IN,76.37,overcast clouds,18.7667,84.0833,APEPDCL
313,Camocim,BR,86.27,overcast clouds,-2.9022,-40.8411,Ilha Praia Hotel
315,Artigas,UY,72.27,clear sky,-30.4,-56.4667,Hotel Casino San Eugenio del Cuareim
317,Guerrero Negro,MX,76.87,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
318,Prado,BR,80.29,clear sky,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
319,Harper,LR,76.51,broken clouds,4.375,-7.7169,Screensaver
321,Faridpur,BD,80.49,few clouds,23.6,89.8333,Progoti Muslim hostel
325,Pleasanton,US,85.26,clear sky,37.6624,-121.8747,Four Points by Sheraton Pleasanton
326,Tabas,IR,70.45,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
329,San Patricio,US,81.07,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
330,Souillac,MU,71.98,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
331,Rio Grande,BR,77.11,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
332,Caravelas,BR,80.62,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
333,Valparaiso,CL,77.23,clear sky,-33.0393,-71.6273,Hotel Ultramar
334,Kaduna,NG,70.86,moderate rain,10.5222,7.4383,HAMDALA HOTEL
336,Umm Lajj,SA,86.63,clear sky,25.0213,37.2685,Moon light Furnished Units
337,Carutapera,BR,85.55,scattered clouds,-1.195,-46.02,Lidera
340,Mount Isa,AU,71.37,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
344,Tambilil,PH,78.1,overcast clouds,5.9622,124.6697,San Jose Beach Resort
346,Kilindoni,TZ,76.59,scattered clouds,-7.9139,39.6668,Bustani B&B
347,Santa Rosa,PH,82.38,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
351,Bubaque,GW,81.88,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
353,Piacabucu,BR,80.71,clear sky,-10.4056,-36.4344,Piaçabuçu News
356,Biri,PH,82.17,moderate rain,12.6833,124.3636,Nena's Biri Home Stay
360,Tucupita,VE,85.41,broken clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
363,Abu Kamal,SY,85.71,clear sky,34.4506,40.9171,البوكمال
365,Suluq,LY,70.25,clear sky,31.6682,20.2521,ورشة الحضيري لاكترونات وخدمات النت
368,Balabac,PH,81.41,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
369,Namatanai,PG,77.09,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
373,Kiunga,PG,72.97,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
376,Emilio Carranza,MX,81.12,few clouds,19.9711,-96.6114,Hotel Carranza Inn
377,Tevaitoa,PF,78.62,overcast clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
380,Ibra,OM,75.9,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
381,Luwuk,ID,77.22,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
384,Panalingaan,PH,78.44,broken clouds,8.7842,117.4231,I Love Panalingaan View Deck
393,Mlimba,TZ,76.01,clear sky,-8.8,35.8167,California Lodge
397,Roebourne,AU,74.97,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
399,Sola,VU,80.28,broken clouds,-13.8833,167.55,Leumerus Bungalows
400,Vao,NC,72.18,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
402,Tiarei,PF,80.62,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
404,Iguai,BR,85.3,broken clouds,-14.7564,-40.0892,CadHotel
409,Metro,ID,72.55,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
410,Noumea,NC,73.99,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
411,Karaton,ID,72.75,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
412,Itarema,BR,85.08,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
414,Palasbari,IN,77.05,thunderstorm,26.1361,91.5486,Maatri vojonalay
415,Cape Canaveral,US,84.27,clear sky,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
416,Mattru,SL,75.13,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
418,Banikoara,BJ,77.76,overcast clouds,11.2985,2.4386,Hôtel de l'UCom CVPC
419,Vanimo,PG,77.05,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
421,Half Moon Bay,US,81.81,broken clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
423,Santa Cruz De La Palma,ES,75.15,few clouds,28.6835,-17.7642,H10 Taburiente Playa
425,Sinnamary,GF,84.4,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
426,Watertown,US,79.41,clear sky,42.3709,-71.1828,16 Washburn Street Watertown MA
428,Kintampo,GH,74.52,overcast clouds,8.0563,-1.7306,Adomaa Memorial Hotel
429,Parana,AR,87.57,light rain,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
431,Santa Luzia,BR,73.54,overcast clouds,-19.7697,-43.8514,Pousada Chao Earth
433,Kahului,US,84.97,few clouds,20.8947,-156.47,Maui Seaside Hotel
434,Tulum,MX,88.68,few clouds,20.2167,-87.4667,Kin Ha Tulum
436,Padang,ID,75.25,moderate rain,-0.9492,100.3543,Mercure Padang
437,Ajdabiya,LY,72.23,clear sky,30.7554,20.2263,منزلة الحاج سالم خليفة العيساويه الزواوي
438,Betim,BR,72.84,overcast clouds,-19.9678,-44.1983,Hotel Abba - Betim
447,Treinta Y Tres,UY,70.11,clear sky,-33.2333,-54.3833,Jardines Apart-Hotel
450,Athmallik,IN,75.15,overcast clouds,20.7219,84.5348,"Mishra resident and Advocate chamber,Bangalasahi,Athamallik,Angul"
451,Terrasini,IT,71.22,clear sky,38.146,13.0844,Florio Park Hotel
455,Touros,BR,81.86,clear sky,-5.1989,-35.4608,INN NEW HORIZON
457,Glen Allen,US,82.42,clear sky,37.666,-77.5064,Courtyard by Marriott Richmond North/Glen Allen
459,Cabra,ES,72.19,overcast clouds,37.4725,-4.4421,MS Fuente Las Piedras
461,Weligama,LK,76.59,overcast clouds,5.9667,80.4167,Weligama Bay Resort
469,Hershey,US,77.14,few clouds,40.2859,-76.6503,Days Inn by Wyndham Hershey
470,Bandarbeyla,SO,77.72,clear sky,9.4942,50.8122,JABIR HOTEL
472,Kerema,PG,78.37,overcast clouds,-7.9631,145.7785,Frena Lodge
473,Santa Cruz,BO,84.25,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
477,Darnah,LY,71.31,overcast clouds,32.766999999999996,22.6367,فندق الفردوس
480,Totness,SR,85.55,clear sky,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
482,Santiago,CL,80.04,few clouds,-33.4569,-70.6483,Hotel Panamericano
483,Dakar,SN,86.13,broken clouds,14.6937,-17.4441,Novotel Dakar
484,Paso De Los Toros,UY,73.96,clear sky,-32.8167,-56.5167,Complejo Isabelino
485,Limon,CR,76.89,heavy intensity drizzle,10.0,-83.0333,Hotel Playa Bonita
491,Tabou,CI,76.3,broken clouds,4.423,-7.3528,hotêl doufoulougou
496,Dolores,AR,79.63,clear sky,-36.3132,-57.6792,Apart Hotel - Arianos
501,Tooele,US,75.24,clear sky,40.5308,-112.2983,"Holiday Inn Express & Suites Tooele, an IHG Hotel"
504,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
507,Praia,CV,84.74,haze,14.9215,-23.5087,LT Aparthotel
510,Kupang,ID,79.75,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
511,Norsup,VU,78.13,clear sky,-16.0667,167.3833,Nabelchel Bungalows
515,Yarmouth,US,73.65,clear sky,41.7057,-70.2286,Blue Rock Resort
518,Tres Arroyos,AR,74.53,overcast clouds,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
519,Araceli,PH,82.85,broken clouds,10.5529,119.9913,JBryan Traveler's Inn
522,Makakilo City,US,80.62,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
523,Mormugao,IN,74.46,broken clouds,15.4,73.8,Coconut Creek Resort
525,Dingle,PH,76.19,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
526,San Policarpo,PH,81.21,moderate rain,12.1791,125.5072,Agapita M. Nicart
529,Miami Beach,US,87.82,scattered clouds,25.7906,-80.1301,Fontainebleau Miami Beach
530,Waingapu,ID,79.88,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
533,Alta Floresta,BR,76.82,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
537,Moindou,NC,71.31,clear sky,-21.6924,165.67700000000002,Equi-lodge de Moindou
540,Gondanglegi,ID,75.56,overcast clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
543,Los Llanos De Aridane,ES,71.13,few clouds,28.6585,-17.9182,Valle Aridane
546,Grand Gaube,MU,72.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
548,General Pico,AR,82.47,scattered clouds,-35.6566,-63.7568,Euskadi Hotel
550,Kikwit,CD,75.04,overcast clouds,-5.041,18.8162,HOTEL PLACE YALABA
552,Zanzibar,TZ,74.62,clear sky,-6.1639,39.1979,Tembo House Hotel
553,Dickinson,US,89.17,clear sky,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
556,Russell,US,87.08,clear sky,32.3502,-85.1999,Macs
557,Gouyave,GD,86.77,few clouds,12.1646,-61.7296,Rumboat Retreat
559,Juba,SS,73.72,light rain,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
561,Tahta,EG,77.58,clear sky,26.7693,31.5021,فندق الزيات
563,Kampot,KH,75.25,moderate rain,10.6167,104.1833,Two Moons Hotel
566,Daytona Beach,US,86.11,few clouds,29.2108,-81.0228,"Holiday Inn Resort Daytona Beach Oceanfront, an IHG Hotel"
569,Marsa Matruh,EG,73.6,scattered clouds,31.3525,27.2453,Beau Site
573,Iquitos,PE,77.04,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
574,Kota Tinggi,MY,77.29,overcast clouds,1.7381,103.8999,Canopy Tribe
578,Teknaf,BD,79.29,few clouds,20.8624,92.3058,Forestry Guesthouse
579,Salalah,OM,78.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
582,Panama City,PA,83.44,scattered clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
583,Forio,IT,70.09,overcast clouds,40.7342,13.8646,Hotel Terme Providence
584,Puerto Colombia,CO,77.09,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
585,Benguela,AO,73.09,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
586,Mareeba,AU,72.32,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
587,Sehithwa,BW,85.19,clear sky,-20.4667,22.7167,MONLEK GUEST HOUSE
588,Sibolga,ID,75.58,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
589,Voh,NC,72.1,broken clouds,-20.9667,164.7,Le gîte du Koniambo
590,Morant Bay,JM,87.42,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
594,Biak,ID,76.44,overcast clouds,-0.9131,122.8766,Penginapan Kim
596,Nhulunbuy,AU,75.81,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
603,Minbu,MM,78.28,few clouds,20.1833,94.8833,Pan Tha Tin Guest House - Burmese Only
606,Westport,US,79.09,clear sky,41.1415,-73.3579,The Westport Inn
608,Honiara,SB,76.01,broken clouds,-9.4333,159.95,Heritage Park Hotel
614,Port Said,EG,75.18,clear sky,31.2565,32.2841,Aracan Hotel
615,Puerto Leguizamo,CO,84.0,overcast clouds,-0.1934,-74.7819,la casona de juancho
617,Pringsewu,ID,71.2,overcast clouds,-5.3582,104.9744,Urban Style by Front One
619,Iranshahr,IR,79.14,clear sky,27.2025,60.6848,نیک سرشت
620,Portland,US,78.46,mist,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
622,Neuquen,AR,71.49,dust,-38.9516,-68.0591,Hotel del Comahue
625,Maningrida,AU,79.77,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
626,Thaton,MM,77.0,overcast clouds,16.9206,97.3714,"Shwe Pyi Soe Guest House, Thaton"
628,Lakhnau,IN,75.18,overcast clouds,26.85,80.9167,C N Comforts Hotel & Dormitory
633,Pemba,MZ,77.7,few clouds,-12.974,40.5178,Guesthouse Samotina
635,Ismailia,EG,70.12,clear sky,30.6043,32.2723,Mercure Ismailia Forsan Island Hotel
640,Kieta,PG,79.81,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
641,Acarau,BR,85.86,overcast clouds,-2.8856,-40.12,castelo pizzaria
642,Americus,US,83.79,clear sky,32.0724,-84.2327,Best Western Plus Windsor Hotel
644,Lagoa,PT,70.84,scattered clouds,39.05,-27.9833,Casa Das Faias
646,Santa Flavia,IT,71.38,scattered clouds,38.085,13.5351,La Caletta
647,Wajir,KE,84.16,clear sky,1.7471,40.0573,Mahatallah Hotel
649,Ko Samui,TH,80.71,overcast clouds,9.5357,99.9357,The Passage
651,Bensonville,LR,75.78,overcast clouds,6.4461,-10.6125,Moinga
652,Karratha,AU,74.35,clear sky,-20.7377,116.8463,ibis Styles Karratha
654,Port-Gentil,GA,76.96,broken clouds,-0.7193,8.7815,Fengshui Residence
655,Norwood,US,78.98,clear sky,42.1945,-71.1995,Hilton Boston/Dedham
660,Kuching,MY,77.22,scattered clouds,1.55,110.3333,Hilton Kuching
661,Bambanglipuro,ID,76.06,heavy intensity rain,-7.95,110.2833,Puri Brata
664,Kota Kinabalu,MY,76.98,few clouds,5.9749,116.0724,Gaya Centre Hotel
665,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
667,Pimenta Bueno,BR,74.79,overcast clouds,-11.6725,-61.1936,Cristalina Palace Hotel
668,Trairi,BR,84.52,overcast clouds,-3.2778,-39.2689,janelas do mar
672,Yenagoa,NG,72.66,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
674,Garhi Yasin,PK,82.42,clear sky,27.9069,68.51100000000001,Hashmi Guest House
678,Rosetta,EG,72.64,clear sky,31.4044,30.4164,Green Valley
679,Hailey,US,71.89,clear sky,43.5196,-114.3153,Wood River Inn & Suites
683,Brownsville,US,82.4,clear sky,25.9018,-97.4975,Best Western Hotel Plaza Matamoros
684,Bonanza,NI,82.36,light rain,14.0289,-84.59100000000001,Edificio Administrativo HEMCO
685,San Andres,CO,82.42,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
686,Yarada,IN,77.32,mist,17.65,83.2667,Yarada Jungle Beach Resorts
687,Nizwa,OM,79.2,scattered clouds,22.9333,57.5333,Orient Apartments
689,Amalapuram,IN,76.41,overcast clouds,16.5833,82.0167,swayamprabha service apartments
692,Manavalakurichi,IN,78.49,overcast clouds,8.1333,77.3,Jebinrio home
694,Phan Thiet,VN,76.84,overcast clouds,10.9333,108.1,Hotel Saigon-PT
702,Neiafu,TO,77.68,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
704,Mecca,SA,85.35,few clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
706,Zhangzhou,CN,75.13,overcast clouds,24.5133,117.6556,Crowne Plaza Zhangzhou
710,Kudahuvadhoo,MV,82.26,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
